id,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,beta_0,beta_1,beta_2,beta_3,beta_4
0,np.float64(-0.4289797842502594),np.float64(0.4480416178703308),np.float64(0.328216016292572),np.float64(0.9377228021621704),np.float64(0.8089609742164612),np.float64(1.569716215133667),np.float64(0.7150241732597351),np.float64(0.1919132024049759),np.float64(0.11492732912302017),np.float64(0.11140533536672592)
1,np.float64(0.2573169767856598),np.float64(0.4741733968257904),np.float64(0.33673095703125),np.float64(0.8154019117355347),np.float64(1.2246800661087036),np.float64(0.35218608379364014),np.float64(0.4773343503475189),np.float64(0.4129808247089386),np.float64(0.2841808795928955),np.float64(0.197614848613739)
2,np.float64(0.18951120972633362),np.float64(0.4622823894023895),np.float64(0.37046077847480774),np.float64(0.44135886430740356),np.float64(0.8618049025535583),np.float64(0.31750941276550293),np.float64(0.2945077419281006),np.float64(0.3913913369178772),np.float64(0.26467856764793396),np.float64(0.13835233449935913)
3,np.float64(0.252487450838089),np.float64(0.42555925250053406),np.float64(0.32508620619773865),np.float64(0.7249906659126282),np.float64(0.9876874685287476),np.float64(0.3620899021625519),np.float64(0.519146203994751),np.float64(0.40045708417892456),np.float64(0.2517896890640259),np.float64(0.20890110731124878)
4,np.float64(0.2508718967437744),np.float64(0.5355036854743958),np.float64(0.28678858280181885),np.float64(1.0192939043045044),np.float64(0.9927181005477905),np.float64(0.3184790015220642),np.float64(0.49474290013313293),np.float64(0.4432382881641388),np.float64(0.17674000561237335),np.float64(0.22906698286533356)
5,np.float64(0.1878504604101181),np.float64(0.437461793422699),np.float64(0.29234957695007324),np.float64(0.667335569858551),np.float64(1.1041661500930786),np.float64(0.3285207748413086),np.float64(0.3909837007522583),np.float64(0.44064241647720337),np.float64(0.21995265781879425),np.float64(0.15325401723384857)
6,np.float64(0.22011256217956543),np.float64(0.5441973209381104),np.float64(0.3227035105228424),np.float64(0.6000684499740601),np.float64(0.9612700343132019),np.float64(0.3081893026828766),np.float64(0.3895977735519409),np.float64(0.44557371735572815),np.float64(0.1994015872478485),np.float64(0.16635476052761078)
7,np.float64(0.2285657376050949),np.float64(0.5928685665130615),np.float64(0.32178035378456116),np.float64(0.6311659216880798),np.float64(1.2271934747695923),np.float64(0.2915595471858978),np.float64(0.354697048664093),np.float64(0.47646722197532654),np.float64(0.2293216437101364),np.float64(0.14572708308696747)
8,np.float64(0.176360622048378),np.float64(0.4228009581565857),np.float64(0.3047376871109009),np.float64(0.4894132614135742),np.float64(1.0510131120681763),np.float64(0.32850900292396545),np.float64(0.3395741879940033),np.float64(0.43231716752052307),np.float64(0.23073184490203857),np.float64(0.1285780817270279)
9,np.float64(0.23992830514907837),np.float64(0.5528419017791748),np.float64(0.333609014749527),np.float64(0.8665633201599121),np.float64(1.0409979820251465),np.float64(0.301457941532135),np.float64(0.41277584433555603),np.float64(0.425761342048645),np.float64(0.1795036941766739),np.float64(0.17111292481422424)
10,np.float64(0.19908201694488525),np.float64(0.4982439875602722),np.float64(0.3223627507686615),np.float64(0.6689214110374451),np.float64(1.1411677598953247),np.float64(0.3189926743507385),np.float64(0.37451180815696716),np.float64(0.4310142397880554),np.float64(0.2237170934677124),np.float64(0.14292395114898682)
11,np.float64(0.2252988964319229),np.float64(0.5722396969795227),np.float64(0.3603873550891876),np.float64(0.5827372670173645),np.float64(1.3365845680236816),np.float64(0.29492470622062683),np.float64(0.32207921147346497),np.float64(0.4612124264240265),np.float64(0.19644783437252045),np.float64(0.21862304210662842)
12,np.float64(0.2046966552734375),np.float64(0.5051895976066589),np.float64(0.3143346607685089),np.float64(0.7137459516525269),np.float64(1.758941650390625),np.float64(0.31444454193115234),np.float64(0.3882342576980591),np.float64(0.40438953042030334),np.float64(0.21054518222808838),np.float64(0.2150237113237381)
13,np.float64(0.20446254312992096),np.float64(0.5101847052574158),np.float64(0.31640854477882385),np.float64(0.48540443181991577),np.float64(1.2610160112380981),np.float64(0.30072760581970215),np.float64(0.32314419746398926),np.float64(0.47577881813049316),np.float64(0.185395285487175),np.float64(0.1414792388677597)
14,np.float64(0.24486182630062103),np.float64(0.6137049198150635),np.float64(0.33258506655693054),np.float64(2.246488571166992),np.float64(0.8171893358230591),np.float64(0.28699856996536255),np.float64(0.41414883732795715),np.float64(0.40737754106521606),np.float64(0.11425509303808212),np.float64(0.11442698538303375)
